,price,bedrooms,bathrooms,sqft_living,floors,waterfront,sqft_basement,yr_built,lat,long,sqft_lot15,month,renovated
2,180000.0,2,1.0,770,1.0,0,0,1933,47.7379,-122.23299999999999,8062,2,0
3,604000.0,4,3.0,1960,1.0,0,910,1965,47.5208,-122.39299999999999,5000,12,0
4,510000.0,3,2.0,1680,1.0,0,0,1987,47.6168,-122.045,7503,2,0
5,1225000.0,4,4.5,5420,1.0,0,1530,2001,47.6561,-122.005,101930,5,0
6,257500.0,3,2.25,1715,2.0,0,0,1995,47.3097,-122.32700000000001,6819,6,0
7,291850.0,3,1.5,1060,1.0,0,0,1963,47.4095,-122.315,9711,1,0
8,229500.0,3,1.0,1780,1.0,0,730,1960,47.5123,-122.337,8113,4,0
9,323000.0,3,2.5,1890,2.0,0,0,2003,47.3684,-122.031,7570,3,0
10,662500.0,3,2.5,3560,1.0,0,1700,1965,47.6007,-122.145,8925,4,0
11,468000.0,2,1.0,1160,1.0,0,300,1942,47.69,-122.292,6000,5,0
12,310000.0,3,1.0,1430,1.5,0,0,1927,47.7558,-122.229,12697,5,0
13,400000.0,3,1.75,1370,1.0,0,0,1977,47.6127,-122.045,10208,10,0
14,530000.0,5,2.0,1810,1.5,0,0,1900,47.67,-122.39399999999999,4850,3,0
15,650000.0,4,3.0,2950,2.0,0,970,1979,47.5714,-122.375,4000,1,0
16,395000.0,3,2.0,1890,2.0,0,0,1994,47.7277,-121.962,14018,7,0
17,485000.0,4,1.0,1600,1.5,0,0,1916,47.6648,-122.34299999999999,4300,5,0
18,189000.0,2,1.0,1200,1.0,0,0,1921,47.3089,-122.21,5095,12,0
19,230000.0,3,1.0,1250,1.0,0,0,1969,47.3343,-122.306,8850,4,0
20,385000.0,4,1.75,1620,1.0,0,760,1947,47.7025,-122.34100000000001,4980,5,0
21,2000000.0,3,2.75,3050,1.0,0,720,1968,47.5316,-122.23299999999999,20336,8,0
22,285000.0,5,2.5,2270,2.0,0,0,1995,47.3266,-122.169,7005,7,0
23,252700.0,2,1.5,1070,1.0,0,0,1985,47.3533,-122.166,8386,5,0
24,329000.0,3,2.25,2450,2.0,0,0,1985,47.3739,-122.17200000000001,6865,11,0
25,233000.0,3,2.0,1710,1.5,0,0,1941,47.3048,-122.21799999999999,4705,11,0
26,937000.0,3,1.75,2450,2.0,0,700,1915,47.6386,-122.36,3573,6,0
27,667000.0,3,1.0,1400,1.5,0,0,1909,47.6221,-122.314,3861,12,0
28,438000.0,3,1.75,1520,1.0,0,730,1948,47.695,-122.304,6235,6,0
29,719000.0,4,2.5,2570,2.0,0,0,2005,47.7073,-122.11,6026,3,0
30,580500.0,3,2.5,2320,2.0,0,0,2003,47.5391,-122.07,3980,11,0
31,280000.0,2,1.5,1190,3.0,0,0,2005,47.7274,-122.35700000000001,1756,12,0
32,687500.0,4,1.75,2330,1.5,0,820,1929,47.6823,-122.368,5000,6,0
33,535000.0,3,1.0,1090,1.5,0,0,1929,47.6889,-122.375,5080,11,0
34,322500.0,4,2.75,2060,1.0,0,780,1981,47.4276,-122.15700000000001,8720,12,0
35,696000.0,3,2.5,2300,1.5,0,790,1930,47.6827,-122.31,3264,6,1
36,550000.0,4,1.0,1660,1.0,0,730,1933,47.6621,-122.132,11467,5,0
37,640000.0,4,2.0,2360,2.0,0,0,1904,47.6702,-122.36200000000001,4700,12,0
38,240000.0,4,1.0,1220,1.0,0,330,1969,47.3341,-122.28200000000001,7800,2,0
39,605000.0,4,2.5,2620,2.0,0,0,1996,47.5301,-122.18,11884,6,0
40,625000.0,4,2.5,2570,2.0,0,0,2000,47.6145,-122.027,5669,7,0
41,775000.0,4,2.25,4220,1.0,0,1620,1984,47.445,-122.34700000000001,30617,8,0
42,861990.0,5,2.75,3595,2.0,0,0,2014,47.6848,-122.016,5639,7,0
43,685000.0,3,1.0,1570,2.0,0,0,1922,47.6413,-122.36399999999999,2640,10,0
44,309000.0,3,1.0,1280,1.0,0,360,1959,47.4485,-122.175,8808,7,0
45,488000.0,3,2.5,3160,2.0,0,0,2003,47.7443,-121.977,9232,7,0
46,210490.0,3,1.0,990,1.0,0,0,1966,47.3066,-122.37100000000001,8840,3,0
47,785000.0,4,2.5,2290,2.0,0,0,1981,47.6194,-122.15100000000001,13685,7,0
48,450000.0,3,1.75,1250,1.0,0,0,1953,47.6796,-122.301,5100,4,0
49,1350000.0,3,2.5,2753,1.0,1,588,1953,47.4041,-122.45100000000001,72513,3,0
50,228000.0,3,1.0,1190,1.0,0,0,1955,47.4258,-122.322,9364,9,0
51,345000.0,5,2.5,3150,1.0,0,1510,1966,47.4934,-122.189,9133,2,0
52,600000.0,3,1.75,1410,1.0,0,410,1950,47.6808,-122.384,4080,12,0
53,585000.0,2,1.75,1980,1.0,0,990,1981,47.6989,-122.369,6738,2,0
54,920000.0,5,2.25,2730,1.5,0,600,1927,47.6571,-122.281,6000,3,0
55,885000.0,4,2.5,2830,2.0,0,0,1995,47.6597,-122.29,5000,5,0
56,292500.0,4,2.5,2250,2.0,0,0,2008,47.3663,-122.11399999999999,4500,8,0
57,301000.0,3,2.5,2420,2.0,0,0,2003,47.3663,-122.12200000000001,4750,4,0
58,951000.0,5,3.25,3250,2.0,0,0,1968,47.588,-122.116,11044,8,0
59,430000.0,4,3.0,1850,2.0,0,0,1991,47.5059,-122.149,8542,2,0
60,650000.0,3,2.25,2150,1.0,0,560,1959,47.4336,-122.339,18900,12,0
61,289000.0,3,1.75,1260,1.0,0,0,1954,47.4366,-122.335,8750,8,0
62,505000.0,3,1.75,2519,2.0,0,0,1973,47.4428,-122.344,9500,10,0
63,549000.0,3,1.75,1540,3.0,0,0,2014,47.6765,-122.32,3090,12,0
64,425000.0,3,2.25,1660,1.0,0,550,1979,47.6113,-122.29700000000001,4080,6,0
65,317625.0,3,2.75,2770,1.5,0,1000,1925,47.5747,-122.304,4000,11,0
66,975000.0,4,2.5,2720,2.0,0,0,1989,47.5815,-122.19200000000001,11049,9,0
67,287000.0,4,2.5,2240,2.0,0,0,2005,47.3378,-122.257,4557,10,0
68,204000.0,3,1.0,1000,1.0,0,0,1968,47.3621,-122.11,12635,8,0
69,1325000.0,5,2.25,3200,1.0,0,1600,1965,47.6303,-122.215,20158,6,0
70,1040000.0,5,3.25,4770,1.0,0,1700,1973,47.6525,-122.16,38917,9,0
71,325000.0,3,2.0,1260,1.0,0,0,1972,47.7362,-122.179,4745,1,0
72,571000.0,4,2.0,2750,1.5,0,500,1916,47.7168,-122.287,7807,6,0
73,360000.0,4,2.5,2380,2.0,0,0,2005,47.3608,-122.036,5000,7,0
74,349000.0,3,1.75,1790,1.0,0,700,1965,47.3511,-122.073,50529,3,0
75,832500.0,4,4.0,3430,2.0,0,1040,1986,47.5822,-121.98700000000001,35020,11,0
76,380000.0,4,1.75,1760,1.0,0,880,1956,47.6034,-122.125,7500,10,0
77,480000.0,3,1.0,1040,1.0,0,0,1941,47.5636,-122.39399999999999,5060,4,0
78,410000.0,3,1.0,1410,1.0,0,500,1956,47.7073,-122.34,5693,6,0
79,720000.0,4,2.5,3450,2.0,0,0,2002,47.342,-122.025,39750,3,0
80,390000.0,3,2.5,2350,2.0,0,0,2003,47.3512,-122.008,5363,12,0
81,360000.0,4,2.5,1900,2.0,0,0,1992,47.349,-122.031,6405,12,0
82,355000.0,2,1.0,2020,1.0,0,1010,1948,47.5474,-122.291,6720,10,0
83,356000.0,3,1.5,1680,1.0,0,0,1964,47.4811,-122.149,8797,1,0
84,315000.0,3,1.0,960,1.0,0,0,1952,47.7264,-122.31,7203,6,0
85,940000.0,3,1.5,2140,2.0,0,240,1925,47.6337,-122.365,4800,11,0
86,305000.0,5,2.25,2660,1.5,0,0,1961,47.2909,-122.189,8165,11,0
87,461000.0,3,3.25,2770,2.0,0,790,2006,47.5228,-122.199,7349,6,0
88,215000.0,2,2.25,1610,2.0,0,0,1979,47.518,-122.194,2025,5,0
89,335000.0,2,1.75,1030,2.0,0,265,2006,47.5394,-122.387,1106,9,0
90,243500.0,4,2.5,1980,2.0,0,0,1988,47.2897,-122.37200000000001,7510,5,0
